Population Population_Type Treatment Replicate Date Longest_leaf n_Leaves Biomass Shoot_biomass Root_biomass Root.shoot_ratio Experience Stage Exp_Pop
BLK E C 3 2012-04-30 16 14 0.287 0.137 0.15 1.0948905109489 E Seedling E.BLK
BLK E C 4 2012-04-30 26.5 37 0.705 0.336 0.369 1.09821428571429 E Seedling E.BLK
BLK E C 5 2012-04-30 10 12 0.062 0.055 0.007 0.127272727272727 E Seedling E.BLK
BLK E T 1 2012-04-30 NA NA NA NA NA NA E Seedling E.BLK
BLK E T 2 2012-04-30 NA NA NA NA NA NA E Seedling E.BLK
BLK E T 3 2012-04-30 NA NA NA NA NA NA E Seedling E.BLK
BLK E T 4 2012-04-30 NA NA NA NA NA NA E Seedling E.BLK
BLK E T 5 2012-04-30 NA NA NA NA NA NA E Seedling E.BLK
BLP N C 1 2012-04-30 39 23 0.589 0.323 0.266 0.823529411764706 N Seedling N.BLP
BLP N C 2 2012-04-30 25.5 13 0.321 0.175 0.146 0.834285714285714 N Seedling N.BLP
BLP N C 3 2012-04-30 16 36 0.624 0.346 0.278 0.803468208092486 N Seedling N.BLP
BLP N C 4 2012-04-30 23 31 0.591 0.335 0.256 0.764179104477612 N Seedling N.BLP
BLP N C 5 2012-04-30 27 14 0.242 0.137 0.105 0.766423357664233 N Seedling N.BLP
BLP N T 1 2012-04-30 NA NA NA NA NA NA N Seedling N.BLP
BLP N T 2 2012-04-30 NA NA NA NA NA NA N Seedling N.BLP
BLP N T 3 2012-04-30 NA NA NA NA NA NA N Seedling N.BLP
BLP N T 4 2012-04-30 NA NA NA NA NA NA N Seedling N.BLP
BLP N T 5 2012-04-30 NA NA NA NA NA NA N Seedling N.BLP
Ana C C 1 2012-04-30 NA NA NA NA NA NA C Seedling C.Ana
Ana C C 2 2012-04-30 NA NA NA NA NA NA C Seedling C.Ana
Ana C C 3 2012-04-30 NA NA NA NA NA NA C Seedling C.Ana
Ana C C 4 2012-04-30 NA NA NA NA NA NA C Seedling C.Ana
Ana C C 5 2012-04-30 NA NA NA NA NA NA C Seedling C.Ana
Ana C T 1 2012-04-30 NA NA NA NA NA NA C Seedling C.Ana
Ana C T 2 2012-04-30 NA NA NA NA NA NA C Seedling C.Ana
Ana C T 3 2012-04-30 NA NA NA NA NA NA C Seedling C.Ana
